Country,Year,Month,Specie,min,max,median,variance
AE,2020,6,co,0.10000000000000005,0.10000000000000005,0.10000000000000005,0.0
AE,2020,6,dew,17.8359375,27.9109375,24.578125,80.28750000000002
AE,2020,6,humidity,28.5546875,79.3328125,57.0625,2285.8262500000014
AE,2020,6,no2,1.9718749999999992,31.637500000000003,6.528125,377.3465624999999
AE,2020,6,o3,7.523437500000001,51.728125,23.551562500000003,1290.1031250000003
AE,2020,6,pm10,67.75,184.28125,88.40625,33453.529375000006
AE,2020,6,pm25,77.80327868852459,140.14754098360655,106.60655737704919,3743.045737704918
AE,2020,6,pressure,997.03125,1000.21875,998.4765625,10.182656249999999
AE,2020,6,so2,2.4125,12.415624999999997,4.490624999999997,47.905937500000014
AE,2020,6,temperature,30.653125,41.046875,34.515625,96.34609375
AE,2020,6,wind-gust,12.8,13.3,12.8,1.365
