Date,Country,City,Specie,count,min,max,median,variance
2020-01-12,CO,Bogotá,wd,272,1.0,360.0,120.0,31871.40
2020-02-01,CO,Bogotá,wd,278,1.0,359.0,107.0,77533.80
2020-02-25,CO,Bogotá,wd,270,1.0,360.0,230.0,106762.00
2020-03-15,CO,Bogotá,wd,265,1.0,360.0,245.0,130832.00
2020-04-04,CO,Bogotá,wd,252,1.0,359.0,110.0,57239.60
2020-01-04,CO,Bogotá,wd,276,1.0,359.0,264.0,86289.80
2020-01-23,CO,Bogotá,wd,271,1.0,360.0,268.0,85680.00
2020-03-12,CO,Bogotá,wd,265,1.0,358.0,166.0,91622.90
2020-03-29,CO,Bogotá,wd,266,1.0,360.0,135.0,73658.40
2020-04-03,CO,Bogotá,wd,261,1.0,355.0,133.0,64670.50
2020-01-28,CO,Bogotá,wd,264,1.0,360.0,250.0,123605.00
2020-03-08,CO,Bogotá,wd,239,1.0,359.0,148.0,86404.10
2020-01-22,CO,Bogotá,wd,268,1.0,353.0,252.0,59324.00
2020-02-02,CO,Bogotá,wd,278,1.0,358.0,128.0,106761.00
2020-01-06,CO,Bogotá,wd,276,1.0,360.0,268.0,61349.80
2020-01-09,CO,Bogotá,wd,242,1.0,358.0,124.0,104315.00
2020-01-15,CO,Bogotá,wd,277,1.0,360.0,122.0,46969.40
2020-02-08,CO,Bogotá,wd,275,1.0,357.0,252.0,98494.70
2020-02-26,CO,Bogotá,wd,272,1.0,360.0,252.0,61903.00
2020-03-18,CO,Bogotá,wd,269,1.0,360.0,259.0,111713.00
2020-01-03,CO,Bogotá,wd,275,1.0,358.0,251.0,124056.00
2020-01-11,CO,Bogotá,wd,275,1.0,357.0,121.0,50258.60
2020-01-31,CO,Bogotá,wd,277,1.0,356.0,110.0,30727.00
2020-02-23,CO,Bogotá,wd,2,264.0,330.0,264.0,21780.00
2020-03-21,CO,Bogotá,wd,271,1.0,359.0,277.0,45792.00
2020-03-23,CO,Bogotá,wd,277,1.0,358.0,180.0,102180.00
2020-03-28,CO,Bogotá,wd,132,1.0,360.0,213.0,77202.20
2020-04-01,CO,Bogotá,wd,267,1.0,358.0,243.0,88341.50
2020-01-07,CO,Bogotá,wd,268,1.0,359.0,231.0,101847.00
2020-01-27,CO,Bogotá,wd,271,1.0,360.0,248.0,113205.00
2020-04-05,CO,Bogotá,wd,253,1.0,359.0,121.0,82578.80
2020-02-27,CO,Bogotá,wd,268,1.0,360.0,243.0,110753.00
2020-03-10,CO,Bogotá,wd,257,1.0,360.0,158.0,109956.00
2020-03-19,CO,Bogotá,wd,277,1.0,360.0,221.0,99415.90
2020-04-02,CO,Bogotá,wd,270,1.0,359.0,142.0,115354.00
2020-01-18,CO,Bogotá,wd,248,1.0,357.0,118.0,53325.80
2020-01-26,CO,Bogotá,wd,273,1.0,359.0,240.0,99757.40
2020-01-02,CO,Bogotá,wd,10,283.0,309.0,285.0,715.11
2020-03-13,CO,Bogotá,wd,264,1.0,358.0,239.0,98967.80
2020-01-25,CO,Bogotá,wd,270,1.0,359.0,254.0,110942.00
2020-02-04,CO,Bogotá,wd,271,1.0,358.0,130.0,97381.20
